id,hotel_name,hotel_rating,hotel_experience,amenities,address,country,locality,location,price,
9057,La Pause Vacation Home,0.0,Bad,"['Non-smoking hotel', 'Self-Serve Laundry', 'Family Rooms', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Spa', 'Hot Tub', 'Suites', 'Pool', 'Free parking', 'Public Wifi']",540 Salsbury Road Courtenay British Columbia,Canada,Kimberley British Columbia,"(49.6748527, -125.0302615)",300.0,
9058,Sea Lion Bed & Breakfast,0.0,Bad,"['Hot Tub', 'Pool']",2011 Sea Lion Way Site 291 C41 Rr2 Courtenay British Columbia,Canada,Kimberley British Columbia,"(55.001251, -125.002441)",300.0,
9059,Holiday Inn Express Hotel & Suites Chatham South,4.0,Very good,"['Non-smoking hotel', 'Business Centre with Internet Access', 'Breakfast included', 'Heated pool', 'Family Rooms', 'Fitness Centre with Gym / Workout Room', 'Suites', 'Breakfast Available', 'Free parking', 'Laundry Service', 'Dry Cleaning', 'Non-smoking rooms', 'Indoor pool', 'Conference Facilities', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry', 'Wheelchair Access', 'Free High Speed Internet (WiFi)', 'Meeting rooms', 'Pool']",575 Richmond St Ontario,Canada,Kimberley British Columbia,"(42.39057195, -82.2022349843136)",300.0,
9060,Days Inn by Wyndham Wallaceburg,3.0,Average,"['Breakfast included', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Air conditioning', 'Laundry Service', 'Wheelchair Access', 'Refrigerator in room', 'Family Rooms', 'Free High Speed Internet (WiFi)', 'Babysitting', 'Non-smoking rooms', 'Room service', 'Golf Course', 'Free parking', 'Public Wifi', 'Concierge']",76 McNaughton Ave Ontario,Canada,Kimberley British Columbia,"(42.5830567476025, -82.3815609262168)",118.0,
9061,Retro Suites Hotel,5.0,Excellent,"['Non-smoking hotel', 'Bar/Lounge', 'Business Centre with Internet Access', 'Microwave', 'Breakfast included', 'Banquet Room', 'Restaurant', 'Air conditioning', 'Refrigerator in room', 'Suites', 'Free parking', 'Laundry Service', 'Dry Cleaning', 'Non-smoking rooms', 'Wheelchair Access', 'Free High Speed Internet (WiFi)', 'Meeting rooms', 'Room service', 'Kitchenette']",2 King St W Ontario,Canada,Kimberley British Columbia,"(43.25793945, -79.8720782044408)",155.0,
9062,Wenzler's Landing Bed & Breakfast,5.0,Excellent,"['Non-smoking hotel', 'Air conditioning', 'Laundry Service', 'Wheelchair Access', 'Family Rooms', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Suites', 'Free parking', 'Breakfast included', 'Accessible rooms']",2310 Hickson Rd Ontario,Canada,Kimberley British Columbia,"(42.080348, -82.4785924)",300.0,
9063,Omstead's On Erie B&B,5.0,Excellent,"['Breakfast included', 'Non-smoking hotel', 'Air conditioning', 'Refrigerator in room', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Suites', 'Golf Course', 'Free parking', 'Public Wifi']",254 Detroit Line Ontario,Canada,Kimberley British Columbia,"(42.0718247166667, -82.45674745)",300.0,
9064,Travelodge Chatham,3.5,Very good,"['Non-smoking hotel', 'Business Centre with Internet Access', 'Airport transportation', 'Smoking rooms available', 'Microwave', 'Breakfast included', 'Accessible rooms', 'Air conditioning', 'Refrigerator in room', 'Fitness Centre with Gym / Workout Room', 'Suites', 'Multilingual Staff', 'Free parking', 'Laundry Service', 'Dry Cleaning', 'Non-smoking rooms', 'Conference Facilities', 'Pets Allowed ( Dog / Pet Friendly )', 'Wheelchair Access', 'Free High Speed Internet (WiFi)', 'Meeting rooms', 'Public Wifi', 'Kitchenette']",555 Bloomfield Rd Ontario,Canada,Kimberley British Columbia,"(42.3794449419355, -82.2164693532258)",300.0,
9065,Saxony Motel & Restaurant,4.0,Very good,"['Non-smoking hotel', 'Air conditioning', 'Wheelchair Access', 'Refrigerator in room', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Microwave', 'Free parking', 'Breakfast included']",521 Grand Ave E Ontario,Canada,Kimberley British Columbia,"(42.4193298909091, -82.1732519545455)",69.0,
9066,Comfort Inn Chatham,0.0,Bad,[''],1100 Richmond St Ontario,Canada,Kimberley British Columbia,"(42.3804469, -82.2152573)",135.0,
